id,number,name
583,6412 ,群電 
584,8039 ,台虹 
585,8046 ,南電 
586,8103 ,瀚荃 
587,8213 ,志超 
588,8249 ,菱光 
589,2347 ,聯強 
590,2414 ,精技 
591,2430 ,燦坤 
592,2459 ,敦吉 
593,3010 ,華立 
594,3028 ,增你強 
595,3033 ,威健 
596,3036 ,文曄 
597,3048 ,益登 
598,3055 ,蔚華科 
599,3209 ,全科 
600,3312 ,弘憶股 
601,3315 ,宣昶 
602,3528 ,安馳 
603,3702 ,大聯大 
604,5434 ,崇越 
605,6145 ,勁永 
606,6189 ,豐藝 
607,6281 ,全國電 
608,8070 ,長華 
609,8112 ,至上 
610,2427 ,三商電 
611,2453 ,凌群 
612,2468 ,華經 
613,2471 ,資通 
614,2480 ,敦陽科 
615,3029 ,零壹 
616,3130 ,一零四 
617,4994 ,傳奇 
618,5203 ,訊連 
619,6112 ,聚碩 
620,6183 ,關貿 
621,6214 ,精誠 
622,2312 ,金寶 
623,2317 ,鴻海 
624,2354 ,鴻準 
625,2359 ,所羅門 
626,2360 ,致茂 
627,2373 ,震旦行 
628,2390 ,云辰 
629,2404 ,漢唐 
630,2423 ,固緯 
631,2433 ,互盛電 
632,2461 ,光群雷 
633,2464 ,盟立 
634,2474 ,可成 
635,2477 ,美隆電 
636,2482 ,連宇 
637,2488 ,漢平 
638,2495 ,普安 
639,2497 ,怡利電 
640,3018 ,同開 
641,3030 ,德律 
642,3043 ,科風 
643,3305 ,昇貿 
644,3450 ,聯鈞 
645,3518 ,柏騰 
646,3617 ,碩天 
647,3665 ,貿聯-KY 
648,5225 ,東科-KY 
649,6139 ,亞翔 
650,6192 ,巨路 
651,6196 ,帆宣 
652,6201 ,亞弘電 
653,6215 ,和椿 
654,6409 ,旭隼 
655,8021 ,尖點 
656,8201 ,無敵 
657,1436 ,華友聯 
658,1438 ,裕豐 
659,1442 ,名軒 
660,1805 ,寶徠 
661,1808 ,潤隆 
662,2501 ,國建 
663,2504 ,國產 
664,2505 ,國揚 
665,2506 ,太設 
666,2509 ,全坤建 
667,2511 ,太子 
668,2515 ,中工 
669,2516 ,新建 
670,2520 ,冠德 
671,2524 ,京城 
672,2527 ,宏璟 
673,2528 ,皇普 
674,2530 ,華建 
675,2534 ,宏盛 
676,2535 ,達欣工 
677,2536 ,宏普 
678,2537 ,聯上發 
679,2538 ,基泰 
680,2539 ,櫻花建 
681,2540 ,愛山林 
682,2542 ,興富發 
683,2543 ,皇昌 
684,2545 ,皇翔 
685,2546 ,根基 
686,2547 ,日勝生 
687,2548 ,華固 
688,2597 ,潤弘 
689,2841 ,台開 
690,2923 ,鼎固-KY 
691,3052 ,夆典 
692,3056 ,總太 
693,3266 ,昇陽 
694,3703 ,欣陸 
695,5515 ,建國 
696,5519 ,隆大 
697,5521 ,工信 
698,5522 ,遠雄 
699,5525 ,順天 
700,5531 ,鄉林 
701,5533 ,皇鼎 
702,5534 ,長虹 
703,6177 ,達麗 
704,9906 ,欣巴巴 
705,9946 ,三發地產 
706,2208 ,台船 
707,2603 ,長榮 
708,2605 ,新興 
709,2606 ,裕民 
710,2607 ,榮運 
711,2608 ,大榮 
712,2609 ,陽明 
713,2610 ,華航 
714,2611 ,志信 
